"phenotype","causal_b","causal_se","causal_p"
"ENSG00000129749.3",-0.00329212296051002,0.00610473026025271,0.589697732354989
"ENSG00000167333.12",0.0170916473500583,0.00585590696738434,0.00351492066301939
"ENSG00000180723.6",-0.00195578509451873,0.00406919001151267,0.630777690613574
"ENSG00000181830.8",0.00309277028321635,0.00982611928711457,0.75295153661043
"ENSG00000234776.4",0.00548179958275182,0.00561649971332837,0.32905600628074
"ENSG00000110455.13",-0.00514298502597178,0.00328707798824175,0.117675101111751
"ENSG00000052850.5",0.00710587650326951,0.00394522348686213,0.0716817482091829
"ENSG00000149557.12",-0.0105459590757867,0.0085345230563598,0.216576679520229
"ENSG00000254463.1",-0.00625437220268161,0.0042316699759322,0.139410056701166
"ENSG00000166689.15",0.00101275190230344,0.00747082914998835,0.892168461871142
"ENSG00000260401.1",-0.00533487119870639,0.00764723401780937,0.485414232258264
"ENSG00000054967.12",-0.0137230488006103,0.00819740471534915,0.0941163757230773
"ENSG00000175591.11",-0.000446476867629536,0.00763050959873356,0.953340753106254
"ENSG00000168010.10",0.0239056795938806,0.0102895391617668,0.0201630769946403
"ENSG00000256633.1",-0.00475611866810159,0.00549937290712186,0.387122520304352
"ENSG00000214530.8",-0.0330726474632515,0.0146748625777561,0.0242154348674004
"ENSG00000170276.5",0.00689923711068142,0.00957223268914763,0.471060103312005
"ENSG00000168066.20",0.0127039385227896,0.00938490789800999,0.175846096196266
"ENSG00000181908.5",0.00668073982075919,0.00742606890435385,0.368315361979984
"ENSG00000162300.11",-0.0148309916354895,0.0114467114099075,0.195094288095953
"ENSG00000110025.12",-0.0212779502757238,0.00795917496199462,0.00750896986320715
"ENSG00000019505.7",0.0314862785898345,0.00543372731053495,6.84840339992832e-09
"ENSG00000121680.15",0.00165013069499063,0.0102080932944002,0.871582066011471
"ENSG00000176148.15",-0.0119155078988828,0.00865995677057949,0.168842820675785
"ENSG00000213713.3",0.00534673836045821,0.00699039540003354,0.444349417018998
"ENSG00000135374.9",-0.0108171121897477,0.00574164211822706,0.0595683105245686
"ENSG00000255445.1",0.00726847100645663,0.00573152914110743,0.204742374978616
"ENSG00000166086.12",-0.000172657348027893,0.00793058497917662,0.982630568764658
"ENSG00000154127.9",-0.00176246416019391,0.00747079247604655,0.81349944346453
"ENSG00000085063.14",-0.0089028614950288,0.00768156046823697,0.246459745010045
"ENSG00000185475.10",0.00568025170903508,0.00777122996206113,0.464819820354864
"ENSG00000221968.8",0.00977138630333868,0.0103599686842311,0.345585334696955
"ENSG00000162148.10",-0.000512456100281406,0.00647254441714711,0.93689436368673
"ENSG00000185670.7",0.0250165099323857,0.00672032002356689,0.000197246112224492
"ENSG00000168000.14",-0.0176484559191778,0.00979740528699788,0.0716493409258276
