"phenotype","causal_b","causal_se","causal_p"
"ENSG00000268204.1",0.00262520220717777,0.00527313613181198,0.61859359644686
"ENSG00000133246.11",0.00695927134928572,0.00633726829279824,0.272138983246633
"ENSG00000174788.9",-0.00458045299442429,0.0061407859475771,0.455723815709176
"ENSG00000142347.16",-0.000439456078297661,0.00792949663956837,0.955803523594006
"ENSG00000076924.11",-0.0107222769141363,0.00752830558913375,0.154370745512861
"ENSG00000006015.17",-0.00283986822655786,0.00513105122968435,0.579943578612997
"ENSG00000250067.11",-0.0486675706545922,0.00734717315418912,3.49640316699151e-11
"ENSG00000130511.15",-0.0302911121959574,0.00883855845104007,0.000609940194724046
"ENSG00000129933.20",-0.0276092331184944,0.00863269420168307,0.00138279973706779
"ENSG00000167487.11",0.00933215002362915,0.00424216765394202,0.0278172462135798
"ENSG00000271524.1",-0.00910618255618058,0.00385228377897708,0.0180866210871051
"ENSG00000105664.10",-0.0180292146853025,0.00539898464634438,0.000839682318981683
"ENSG00000160111.12",-0.00436160386718758,0.00650310395828835,0.50241440215608
"ENSG00000160113.5",-0.01347227730138,0.00621192777808026,0.0300997256908296
"ENSG00000130307.11",0.00965474748142471,0.00643347947616569,0.133432174325211
"ENSG00000105643.9",0.0141787617086971,0.00424628490372362,0.000840508867025469
"ENSG00000105641.3",0.00423780879857731,0.00361182606739055,0.240669609527551
"ENSG00000187902.11",0.00173038626277863,0.00298803836432268,0.562518709049809
"ENSG00000170892.10",-0.00470248989696522,0.00448610310507505,0.294530388878311
"ENSG00000267056.2",-0.00580386346481065,0.00341854996173814,0.0895538370231123
"ENSG00000105072.8",-0.00954360982809439,0.00489096893225776,0.051024719955558
"ENSG00000267623.3",0.00605785526140403,0.00442672035222533,0.171163503825946
"ENSG00000227500.9",-0.0119705727647394,0.00917030075254548,0.191769216759316
"ENSG00000099625.12",0.0052895999436575,0.0040725237142599,0.193995199441878
"ENSG00000160471.12",0.0109866514354109,0.00345098803822456,0.00145443352692753
"ENSG00000063245.14",-0.00408876920812776,0.00810165636774108,0.613781419215186
"ENSG00000105063.18",-0.00954243291741485,0.00659090264644,0.147667726864374
"ENSG00000129991.12",-0.00326800185988274,0.00263373106758374,0.214670051849933
"ENSG00000108107.14",-0.0008804741892462,0.0040829032625774,0.829261322795209
"ENSG00000160439.15",0.00167553790400089,0.00433769518395668,0.699293918898038
"ENSG00000228323.2",-0.000819872415115462,0.0024151636274402,0.73425668546713
"ENSG00000267265.5",0.00307926240931728,0.00289071267331415,0.286773653150968
"ENSG00000134830.5",-0.0023752276525791,0.00572313561543649,0.678125738808697
"ENSG00000063177.12",0.021962174729529,0.0066652609595909,0.000984143304220586
"ENSG00000269814.1",0.00273246170761382,0.0036383941288975,0.452648071190185
